Time	cb	gl	xy
3.630000000000000000e+02	1.336403656291932363e+00	1.436712223419254641e+01	7.152953034425610923e+00
3.660000000000000000e+02	1.335684855697519380e+00	1.432676069833568988e+01	7.119912498925115685e+00
3.690000000000000000e+02	1.335076672022745381e+00	1.424399636285648363e+01	7.083108955548864216e+00
3.720000000000000000e+02	1.326300544486004540e+00	1.417106086712150237e+01	7.054073791685731898e+00
3.750000000000000000e+02	1.319733914393634855e+00	1.397855521013384283e+01	6.964211456158377445e+00
3.780000000000000000e+02	1.318238533140112523e+00	1.403814181019058260e+01	7.012625091859383986e+00
3.810000000000000000e+02	1.316932971609444225e+00	1.427341142795672724e+01	7.105878654025075569e+00
3.840000000000000000e+02	1.313891057654768657e+00	1.433233420877543018e+01	7.124611357296850578e+00
3.870000000000000000e+02	1.313591481569925001e+00	1.421113668712828115e+01	7.053550747911598862e+00
3.900000000000000000e+02	1.315874897646657438e+00	1.419480888819451891e+01	7.033994584944450956e+00
3.930000000000000000e+02	1.310220044183127097e+00	1.414580812687999867e+01	7.017101843272837591e+00
3.960000000000000000e+02	1.311431638842597724e+00	1.410933160706397160e+01	7.004801858919072366e+00
3.990000000000000000e+02	1.314869612659831155e+00	1.411022769032275015e+01	7.004840349069302086e+00
4.020000000000000000e+02	1.317016563080621427e+00	1.426724157879595367e+01	7.092598878379126504e+00
4.050000000000000000e+02	1.321113293660239663e+00	1.421872650942292715e+01	7.070567834343330915e+00
4.080000000000000000e+02	1.328083833427287086e+00	1.428537125564664123e+01	7.124646099366831464e+00
4.110000000000000000e+02	1.321098686279595702e+00	1.426466270410406167e+01	7.119840030520540708e+00
4.140000000000000000e+02	1.327625547077957657e+00	1.433206858684666507e+01	7.159624085975439201e+00
4.170000000000000000e+02	1.325095498612960609e+00	1.448259694752036353e+01	7.243056393654887515e+00
4.200000000000000000e+02	1.337561906638562892e+00	1.477060920610073680e+01	7.385334865684459515e+00
4.230000000000000000e+02	1.327749983487487739e+00	1.486380877321508898e+01	7.431759119871732544e+00
4.260000000000000000e+02	1.334119414256841996e+00	1.482083875549276542e+01	7.412631395087530883e+00
4.290000000000000000e+02	1.334555464838265149e+00	1.479175778321333645e+01	7.390487159732422207e+00
4.320000000000000000e+02	1.320139678340930711e+00	1.486990552239946695e+01	7.417004516316610285e+00
4.350000000000000000e+02	1.313761420730777285e+00	1.479260112960903228e+01	7.379398085722008283e+00
4.380000000000000000e+02	1.322021030971378908e+00	1.484181480218498983e+01	7.392607162122851960e+00
4.410000000000000000e+02	1.315631057366646983e+00	1.487234256108587616e+01	7.423033080577667420e+00
4.440000000000000000e+02	1.328417009825417328e+00	1.479342294050657713e+01	7.359886039148262782e+00
4.470000000000000000e+02	1.316960171275328495e+00	1.462741912574057679e+01	7.277684255796248003e+00
4.500000000000000000e+02	1.323352122430953015e+00	1.470725092731299100e+01	7.320097822662653186e+00
4.530000000000000000e+02	1.319975948884227757e+00	1.468491235256201932e+01	7.309400060794760456e+00
4.560000000000000000e+02	1.312609796323300548e+00	1.469974228350506529e+01	7.305131841760406530e+00
4.590000000000000000e+02	1.307892986661527202e+00	1.480956369959459806e+01	7.361483515851463544e+00
4.620000000000000000e+02	1.314537435624017148e+00	1.476086283893987527e+01	7.327966244252886341e+00
4.650000000000000000e+02	1.315984772152834381e+00	1.480653077562740449e+01	7.332202311670206640e+00
4.680000000000000000e+02	1.325228421559541792e+00	1.500219692704818719e+01	7.408727240546776116e+00
4.710000000000000000e+02	1.314773897627923294e+00	1.491140315249175785e+01	7.368076779981407753e+00
4.740000000000000000e+02	1.306377902041234051e+00	1.500950110183287833e+01	7.400186483430594819e+00
